Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Spider-Man: No Way Home,"$1,901,232,550","$804,793,477",42.3%,"$1,096,439,073",57.7%
2,The Battle at Lake Changjin,"$902,540,935","$342,411",<0.1%,"$902,198,524",100%
3,"Hi, Mom","$822,009,764",-,-,"$822,009,764",100%
4,No Time to Die,"$774,153,007","$160,891,007",20.8%,"$613,262,000",79.2%
5,F9: The Fast Saga,"$726,229,501","$173,005,945",23.8%,"$553,223,556",76.2%
6,Detective Chinatown 3,"$686,257,563",-,-,"$686,257,563",100%
7,Venom: Let There Be Carnage,"$506,863,592","$213,550,366",42.1%,"$293,313,226",57.9%
8,Godzilla vs. Kong,"$470,067,014","$100,916,094",21.5%,"$369,150,920",78.5%
9,Shang-Chi and the Legend of the Ten Rings,"$432,243,292","$224,543,292",51.9%,"$207,700,000",48.1%
10,Sing 2,"$406,453,646","$162,790,990",40.1%,"$243,662,656",59.9%
11,Eternals,"$402,064,899","$164,870,234",41%,"$237,194,665",59%
12,Dune,"$401,847,900","$108,327,830",27%,"$293,520,070",73%
13,Black Widow,"$379,751,655","$183,651,655",48.4%,"$196,100,000",51.6%
14,Free Guy,"$331,526,598","$121,626,598",36.7%,"$209,900,000",63.3%
15,A Quiet Place Part II,"$297,372,261","$160,072,261",53.8%,"$137,300,000",46.2%
16,Encanto,"$256,450,065","$96,093,622",37.5%,"$160,356,443",62.5%
17,Cruella,"$233,503,234","$86,103,234",36.9%,"$147,400,000",63.1%
18,"My Country, My Parents","$221,715,716","$166,807",<0.1%,"$221,548,909",99.9%
19,Jungle Cruise,"$220,889,446","$116,987,516",53%,"$103,901,930",47%
20,The Conjuring: The Devil Made Me Do It,"$206,401,480","$65,631,050",31.8%,"$140,770,430",68.2%
21,Raging Fire,"$205,846,481","$385,305",0.2%,"$205,461,176",99.8%
22,Ghostbusters: Afterlife,"$197,360,575","$129,360,575",65.5%,"$68,000,000",34.5%
23,Chinese Doctors,"$197,143,218",-,-,"$197,143,218",100%
24,Cliff Walkers,"$181,325,565","$152,972",<0.1%,"$181,172,593",99.9%
25,The Suicide Squad,"$168,657,565","$55,817,425",33.1%,"$112,840,140",66.9%
26,Space Jam: A New Legacy,"$163,732,928","$70,592,228",43.1%,"$93,140,700",56.9%
27,Jujutsu Kaisen 0: The Movie,"$161,580,222","$29,693,448",18.4%,"$131,886,774",81.6%
28,The Matrix Resurrections,"$157,297,525","$37,686,805",24%,"$119,610,720",76%
29,House of Gucci,"$153,939,176","$53,809,574",35%,"$100,129,602",65%
