Rank,Release Group,Worldwide,Domestic,Foreign,filename,year,Domestic %,Foreign %
319,Black Widow,379751655,183651655,196100000,2021.csv,2021,0.4836098870984512,0.5163901129015488
320,Slumdog Millionaire,378410113,141319928,237090185,2008.csv,2008,0.37345705927262046,0.6265429407273796
321,Taken 2,376141306,139854287,236287019,2012.csv,2012,0.3718131584304118,0.6281868415695883
322,G.I. Joe: Retaliation,375740705,122523060,253217645,2013.csv,2013,0.3260840743884802,0.6739159256115198
323,Spider-Man: Into the Spider-Verse,375540831,190241310,185299521,2018.csv,2018,0.5065795628491859,0.49342043715081413
324,Mad Max: Fury Road,374736354,153636354,221100000,2015.csv,2015,0.4099851865453118,0.5900148134546882
325,Shark Tale,374583879,160861908,213721971,2004.csv,2004,0.42944162047080514,0.5705583795291949
326,Once Upon a Time... In Hollywood,374375059,142502728,231872331,2019.csv,2019,0.3806416174748436,0.6193583825251564
327,What Women Want,374111707,182811707,191300000,2000.csv,2000,0.4886554031307018,0.5113445968692982
328,The Adventures of Tintin,373993951,77591831,296402120,2011.csv,2011,0.20746814431766036,0.7925318556823396
329,Penguins of Madagascar,373515621,83850911,289664710,2014.csv,2014,0.22449104210289508,0.775508957897105
330,X-Men Origins: Wolverine,373062864,179883157,193179707,2009.csv,2009,0.48217920988243956,0.5178207901175604
331,The Golden Compass,372234864,70107728,302127136,2007.csv,2007,0.188342723318899,0.811657276681101
332,Fifty Shades Freed,371985018,100407760,271577258,2018.csv,2018,0.26992420431298125,0.7300757956870187
333,Batman Begins,371853783,205343774,166510009,2005.csv,2005,0.552216444709398,0.44778355529060193
334,Hitch,371594210,179495555,192098655,2005.csv,2005,0.48304185094810814,0.5169581490518919
335,Terminator Salvation,371353001,125322469,246030532,2009.csv,2009,0.33747530964479805,0.6625246903552019
336,Captain America: The First Avenger,370569774,176654505,193915269,2011.csv,2011,0.4767105074252494,0.5232894925747505
337,Edge of Tomorrow,370541256,100206256,270335000,2014.csv,2014,0.2704321162013873,0.7295678837986127
338,Gone Girl,369330363,167767189,201563174,2014.csv,2014,0.4542469447604014,0.5457530552395986
339,Jurassic Park III,368780809,181171875,187608934,2001.csv,2001,0.49127251358679025,0.5087274864132098
340,My Big Fat Greek Wedding,368744044,241438208,127305836,2002.csv,2002,0.6547582582784713,0.34524174172152866
341,Hello Mr. Billionaire,366961907,0,366961907,2018.csv,2018,0.0,1.0
342,Shazam!,365971656,140371656,225600000,2019.csv,2019,0.3835588185550632,0.6164411814449369
343,The Nun,365550119,117450119,248100000,2018.csv,2018,0.32129689718415877,0.6787031028158412
344,Alvin and the Chipmunks,365352546,217326974,148025572,2007.csv,2007,0.5948418216305519,0.4051581783694481
345,Tenet,365294355,58504105,306790250,2020.csv,2020,0.1601560609936061,0.8398439390063939
346,Night at the Museum: Secret of the Tomb,363204635,113746621,249458014,2014.csv,2014,0.313175025973994,0.6868249740260061
347,Ocean's Twelve,362744280,125544280,237200000,2004.csv,2004,0.34609582265501193,0.6539041773449881
348,Planet of the Apes,362211740,180011740,182200000,2001.csv,2001,0.4969793082907804,0.5030206917092196
349,The Hangover Part III,362000072,112200072,249800000,2013.csv,2013,0.3099448886297459,0.6900551113702541
350,Monster Hunt 2,361682618,706153,360976465,2018.csv,2018,0.0019524106629862981,0.9980475893370137
351,Fast & Furious,360364265,155064265,205300000,2009.csv,2009,0.43029867292751683,0.5697013270724832
