Rank,Release Group,Worldwide,Domestic,%,Foreign,%
79,Acharya,"$8,048,175","$832,000",10.3%,"$7,216,175",89.7%
80,Chempion mira,"$7,718,753",-,-,"$7,718,753",100%
81,777 Charlie,"$7,523,995",-,-,"$7,523,995",100%
82,Bachchhan Paandey,"$7,387,882",-,-,"$7,387,882",100%
83,Lesson in Murder,"$7,348,964",-,-,"$7,348,964",100%
84,Osomatsusan the Movie 2022 Re-release,"$7,297,522",-,-,"$7,297,522",100%
85,Mobile Suit Gundam: Cucuruz Doan's Island,"$6,998,742",-,-,"$6,998,742",100%
86,Rabbit Academy,"$6,690,002",-,-,"$6,690,002",100%
87,Cyrano,"$6,390,409","$3,873,124",60.6%,"$2,517,285",39.4%
88,Adieu Monsieur Haffmann,"$6,349,658",-,-,"$6,349,658",100%
89,Kingmaker,"$6,049,522",-,-,"$6,049,522",100%
90,Notre Dame on Fire,"$6,027,925",-,-,"$6,027,925",100%
91,The Policeman's Lineage,"$5,869,939",-,-,"$5,869,939",100%
92,Radiation House,"$5,793,450",-,-,"$5,793,450",100%
93,Bheeshma Parvam,"$5,779,651",-,-,"$5,779,651",100%
94,Goliath,"$5,770,632",-,-,"$5,770,632",100%
95,Artek: Bolshoe puteshestvie,"$5,580,855",-,-,"$5,580,855",100%
96,The Exorcism of God,"$5,333,869",-,-,"$5,333,869",100%
97,The Wandering Moon,"$5,262,479",-,-,"$5,262,479",100%
98,Les Segpa,"$5,238,208",-,-,"$5,238,208",100%
99,The Cherry Bushido,"$5,122,729","$17,586",0.3%,"$5,105,143",99.7%
100,Major,"$4,961,424",-,-,"$4,961,424",100%
101,Maigret,"$4,944,938",-,-,"$4,944,938",100%
102,Decision to Leave,"$4,902,248",-,-,"$4,902,248",100%
103,Y cómo es él?,"$4,625,869","$1,500,636",32.4%,"$3,125,233",67.6%
104,The Cursed,"$4,588,389","$4,588,389",100%,-,-
105,Waiting for Bojangles,"$4,538,023",-,-,"$4,538,023",100%
106,Kaathu Vaakula Rendu Kadhal,"$4,474,859",-,-,"$4,474,859",100%
107,Vysehrad: Fylm,"$4,317,319",-,-,"$4,317,319",100%
108,Permis de construire,"$4,298,296",-,-,"$4,298,296",100%
109,Pawankhind,"$4,260,686",-,-,"$4,260,686",100%
110,The Godfather 2022 Re-release,"$4,214,662","$1,414,662",33.6%,"$2,800,000",66.4%
111,Free! The Final Stroke Part 2,"$4,197,237",-,-,"$4,197,237",100%
112,Em Va Trinh,"$4,141,438",-,-,"$4,141,438",100%
113,Irréductible,"$4,095,019",-,-,"$4,095,019",100%
114,Runway 34,"$4,062,826",-,-,"$4,062,826",100%
115,In Our Prime,"$3,969,245",-,-,"$3,969,245",100%
116,Family Camp,"$3,958,122","$3,958,122",100%,-,-
117,Koniec swiata czyli Kogel Mogel 4,"$3,957,350",-,-,"$3,957,350",100%
118,The Outfit,"$3,946,743","$3,344,040",84.7%,"$602,703",15.3%
119,Beautiful Minds,"$3,923,125",-,-,"$3,923,125",100%
120,Fireheart,"$3,892,632","$14,221",0.4%,"$3,878,411",99.6%
121,Desperate for Marriage,"$3,878,443",-,-,"$3,878,443",100%
122,Saunkan Saunkne,"$3,822,831",-,-,"$3,822,831",100%
123,Un Autre Monde,"$3,766,165",-,-,"$3,766,165",100%
124,The One 2022 Re-release,"$3,744,292",-,-,"$3,744,292",100%
125,King,"$3,710,203",-,-,"$3,710,203",100%
126,Between Two Worlds,"$3,652,168",-,-,"$3,652,168",100%
127,Naked Truth,"$3,628,553",-,-,"$3,628,553",100%
128,Disobedient,"$3,601,801",-,-,"$3,601,801",100%
129,Special Delivery,"$3,581,156",-,-,"$3,581,156",100%
130,Official Competition,"$3,536,417","$453,912",12.8%,"$3,082,505",87.2%
131,Belli ciao,"$3,423,873",-,-,"$3,423,873",100%
132,Crimes of the Future,"$3,406,485","$2,452,882",72%,"$953,603",28%
133,Last Seen Alive,"$3,383,753",-,-,"$3,383,753",100%
134,The Way Of The Househusband,"$3,285,070",-,-,"$3,285,070",100%
135,Gangubai Kathiawadi,"$3,271,210","$592,000",18.1%,"$2,679,210",81.9%
136,Etharkkum Thunindhavan,"$3,266,724",-,-,"$3,266,724",100%
137,Ox-Head Village,"$3,250,402",-,-,"$3,250,402",100%
138,Heropanti 2,"$3,235,970",-,-,"$3,235,970",100%
139,The Phantom of the Open,"$3,185,425","$658,891",20.7%,"$2,526,534",79.3%
140,Jana Gana Mana,"$3,135,150",-,-,"$3,135,150",100%
141,La brigade,"$3,112,109",-,-,"$3,112,109",100%
142,Ante Sundharaniki,"$3,097,334","$620,000",20%,"$2,477,334",80%
143,Heart of Oak,"$3,068,589",-,-,"$3,068,589",100%
144,I Want To Know Your Parents,"$3,056,992",-,-,"$3,056,992",100%
145,Le temps des secrets,"$3,047,202",-,-,"$3,047,202",100%
146,The Young Lovers,"$3,036,351",-,-,"$3,036,351",100%
147,The Grandmother,"$3,029,310",-,-,"$3,029,310",100%
148,Studio 666,"$3,018,515","$2,513,963",83.3%,"$504,552",16.7%
149,Extremely Easy Job,"$2,956,808",-,-,"$2,956,808",100%
150,The Glance of Music,"$2,946,540",-,-,"$2,946,540",100%
151,Hot Blooded,"$2,901,023",-,-,"$2,901,023",100%
152,XxxHolic,"$2,882,403",-,-,"$2,882,403",100%
153,Chia Khoa Tram Ty,"$2,851,565",-,-,"$2,851,565",100%
154,Koschey. The Bride Kidnapper,"$2,839,471",-,-,"$2,839,471",100%
155,What to Do with the Dead Kaiju?,"$2,827,966",-,-,"$2,827,966",100%
156,Seventeen Power of Love,"$2,823,989",-,-,"$2,823,989",100%
157,Eingeschlossene Gesellschaft,"$2,773,478",-,-,"$2,773,478",100%
158,Costa!!,"$2,738,958",-,-,"$2,738,958",100%
159,¡Qué Despadre!,"$2,681,505",-,-,"$2,681,505",100%
160,The Wannabes,"$2,627,605",-,-,"$2,627,605",100%
161,Ténor,"$2,623,936",-,-,"$2,623,936",100%
162,Laid-Back Camp Movie,"$2,598,979",-,-,"$2,598,979",100%
163,Vietnamese Horror Story,"$2,569,119",-,-,"$2,569,119",100%
164,Promises,"$2,560,866",-,-,"$2,560,866",100%
165,Cherry Magic! Thirty Years Of Virginity Can Make You A Wizard?!: The Movie,"$2,493,914",-,-,"$2,493,914",100%
166,Corro da te,"$2,479,312",-,-,"$2,479,312",100%
167,Mission «Sky»,"$2,457,275",-,-,"$2,457,275",100%
168,Tonbi,"$2,442,782",-,-,"$2,442,782",100%
169,The Hound of the Baskervilles,"$2,381,508",-,-,"$2,381,508",100%
170,Tri kota i more priklyucheniy,"$2,380,495",-,-,"$2,380,495",100%
171,The Red Herring,"$2,336,496",-,-,"$2,336,496",100%
172,Dreaming of the Meridian Arc,"$2,324,739",-,-,"$2,324,739",100%
